,research,materials,engineering,science,chemical,quantum,ieee,degrees,fusion,optics,phys,award,matter,laser,journal,sciences,syllabushist,energy,laboratory,school
PHYURtest19.csv,0.3677799307904694,-0.0,-0.3094207372729341,-0.0,-0.0,0.43789378937893786,0.5991899189918991,0.4523852385238523,-0.0,51.56435643564357,-0.0,-0.0,0.16302395700964734,1.0480229211039918,0.47548195438369845,0.017474412010175654,-0.0,-0.05792777297531733,-0.0,-0.04550666132887447
PHYURtest20.csv,-1.310958004241025,-0.0,-1.0622046873848248,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5712308225975014,-0.2234169779466919,-0.0,0.07519133556589697,-0.0,3.720705678179817,-0.0,-0.1411696970094352
PHYURtest21.csv,-0.99726410978277,-0.0,-0.8078550542793455,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4429020824374211,-0.16794281513198214,-0.0,0.06871571362565257,-0.0,-0.14511218563681968,-0.0,-0.09577375597723432
PHYURtest22.csv,-0.7794907445116493,-0.0,25.546700210349496,-0.24185069535151751,-0.0,-0.0,-0.0,-0.0,3.2998585572842996,-0.0,-0.0,-0.0,0.19318379684834452,4.454722735675355,-0.0,0.034351489917623566,-0.0,-0.06123767982566967,2.958824998482875,-0.03602766786861863
PHYURtest23.csv,10.399640778411698,0.1491010943199583,1.4780881930821033,3.410537019074676,-0.0,29.31816982831686,-0.0,0.3303695481585678,-0.0,4.8580086317646884,-0.0,4.7413039691827406,0.1268221807206765,6.284901635460397,-0.0,0.025323774542418968,-0.0,-0.03888397875683959,0.3141293083964544,-0.020020170849954857
PHYURtest24.csv,0.4259652688448359,-0.0,-0.29697268449003605,-0.0,-0.0,-0.0,-0.0,-0.0,0.5753094934670271,-0.0,-0.0,0.40493667938297345,0.17523101001940422,3.943358559353372,-0.0,0.03868399225189345,-0.0,1.0767827115927833,6.541366929988577,-0.02282615997989379
PHYURtest25.csv,-0.831876934776724,-0.0,-0.37744836426443606,1.7277184998075195,-0.0,25.112909290434366,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.120147689498719,-0.06446428241853504,-0.0,0.05471675657151835,-0.0,-0.06312562309557937,-0.0,-0.023520447634192164
PHYURtest26.csv,8.197690114502352,-0.0,24.661704303086783,1.0811007751505777,-0.0,19.2789195930623,-0.0,-0.0,-0.0,-0.0,-0.0,2.6631479942105822,0.19200961799985253,-0.05168364038216756,-0.0,0.0490410263212004,-0.0,-0.05059324910196393,-0.0,1.7854996157977157
PHYURtest27.csv,14.606165246873037,-0.0,-0.19084328652198665,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.23071609486530048,0.2709053145558969,1.3237082193630276,-0.0319255179810924,0.3067163331523259,0.033594072526330065,-0.0,2.590409289186285,-0.0,-0.004281809391540607
PHYURtest28.csv,0.45410560344464634,0.18363635803392733,-0.26017192259051614,-0.0,-0.0,2.3760749257412623,-0.0,-0.0,-0.0,34.02763841558733,-0.0,-0.0,0.17282308707513866,-0.042866126183686445,-0.0,0.04969048164542834,-0.0,-0.039249615694206784,-0.0,-0.001992269376402906
PHYURtest29.csv,9.364667213322981,0.3372943193541049,1.0458586945160921,0.8013439494932109,-0.0,0.7499762698743231,-0.0,-0.0,-0.0,5.81963224105687,-0.0,-0.0,0.31602682709982516,-0.07586785338543747,-0.0,0.0963243615343993,-0.0,-0.06935966909156903,-0.0,0.003346580735718696
PHYURtest30.csv,21.934534750468902,-0.0,-0.4391917661801926,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.30350729283290945,-0.07053226115532335,-0.0,2.843815618281366,-0.0,-0.06437848293686357,-0.0,0.009718611150171577
PHYURtest31.csv,34.41870231119232,-0.0,-0.22536034632139706,1.088931500353886,-0.0,-0.0,-0.0,0.3519334926081699,-0.0,-0.0,-0.0,2.0147512083695203,0.15831906372910942,-0.03561238470100525,-0.0,0.05551651926495414,-0.0,-0.03245129579354428,30.97563756063227,0.00835869564482472
PHYURtest32.csv,-0.6629349479117715,-0.0,1.1137269050878666,0.8973392633555375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,22.443507541323783,0.2361732217108297,1.257210316583378,-0.0,0.08648652662705976,-0.0,-0.046764426362288045,0.5149217221569254,0.01722674869557661
PHYURtest33.csv,2.740905616791392,-0.0,-0.22328228891748705,-0.0,-0.0,0.36757992258816996,-0.0,-0.0,-0.0,-0.0,-0.0,9.521194437847992,0.16310681443643618,-0.033182846320617965,-0.0,0.062186347281920386,-0.0,0.8682311150406031,-0.0,0.015084555235695038
PHYURtest34.csv,-0.4268314094937699,-0.0,-0.2169501635963405,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16104140141001536,-0.03167726574445451,-0.0,0.06375454444991141,-0.0,0.8508744331014266,-0.0,0.017947831111941308
PHYURtest35.csv,-1.1603021799131676,-0.0,16.983818947745284,-0.5068668905818805,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4477962265985422,-0.0851515835260126,-0.0,0.18363708262305203,-0.0,-0.07313738824702347,-0.0,0.0581515483394782
PHYURtest36.csv,3.893157395529438,35.05038913879256,1.2833558189643604,-0.19865503561413542,0.5158640864086409,8.501972097658943,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.6716681659281267,-0.05121076527906102,-0.0,0.11805481424929859,-0.0,1.4447675130008533,-0.0,0.04115115704378238
PHYURtest37.csv,-0.0,-0.0,-0.2725393901198638,-0.1464028142104076,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.552477742395077,2.0382429986865933,-0.038068252774364715,-0.0,0.09367060475828096,-0.0,-0.031069153795965164,-0.0,1.7604068667985375
PHYURtest38.csv,-0.0,-0.0,-1.1274845883536366,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9205567098731153,-0.15448848824120723,-0.0,0.4051588087392899,-0.0,-0.12549964583173268,-0.0,0.17685310383247588
PHYURtest39.csv,3.21489437158045,-0.0,-0.2500606197302669,21.360561588029274,-0.0,24.64915265406261,-0.0,-0.0,-0.0,24.587532998217338,1.7781888579963552,10.947209577480306,0.20696299192691583,3.58745063524061,0.42237381150323255,0.09366281623868754,-0.0,-0.027152011588452377,0.40406182255651024,0.043053795844052736
PHYURtest40.csv,0.8695044247621971,-0.0,-0.35753502761565215,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.30024406585400193,-0.043563493607913194,-0.0,0.1395474077115062,-0.0,-0.03785497788477493,-0.0,0.0671243507358806
