,history,physics,engineering,computer,publication,science,research,view,details,professor,faculty,award,pdf,quantum,studies,book,press,systems,hashimoto,tatsunori
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test128.csv,-0.0,-0.0,-2.2654791797183247,7.619456152921622,-0.0,-4.673318410598467,-0.0,-0.0,-0.0,-0.0,-1.3157141961731966,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test129.csv,-0.0,-0.0,-2.2570385110022513,7.645794145315538,-0.0,-4.651554636227139,-0.0,-0.0,-0.0,-0.0,-1.3151621292074673,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test13.csv,57.342837729967435,-0.0,-0.27166495570579186,-0.0,-0.21764298785109087,-1.2098381087545769,-1.8147010014880862,-0.0,-0.0,-0.1552496978147124,-0.0,-0.0,-0.0,-0.0,4.745222370595353,1.2236698508449804,8.03485808182676,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test130.csv,-0.0,-0.0,-2.246902119793429,7.672083899628147,-0.0,-4.6144201458483725,-0.0,-0.0,-0.0,-0.0,-1.314610154160979,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test131.csv,-0.0,-0.0,-2.2384753699534237,7.698325504207583,-0.0,-4.592725017473259,-0.0,-0.0,-0.0,-0.0,-1.314058271018428,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test132.csv,-0.0,-0.0,-1.81708179796167,12.724519047240168,-0.0,-3.724563475759337,-0.0,-0.0,-0.0,-0.0,-1.0702645390673802,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test133.csv,-0.0,-0.0,-1.8104779629201802,12.750664616750717,-0.0,-3.7077310318127483,-0.0,-0.0,-0.0,-1.1869810854582312,-1.0698480060950473,-0.6645430465483643,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test134.csv,-0.0,-0.0,-1.8038781595240132,12.776762300602822,-0.0,-3.6909145730930786,-0.0,-0.0,-0.0,-0.0,-1.0694315296324104,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test135.csv,-0.0,-0.0,31.328856522516087,40.88195513918512,-0.15505365705756802,-0.017158289704731544,2.4170496308810088,-0.0,-0.0,-0.2932244262856642,-0.27488959962989246,-0.0,-0.0,-0.0,0.6808923316143394,-0.0,0.11203070990584868,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test136.csv,-0.0,-0.0,-1.7767261316625924,12.861636444485997,-0.0,-3.6541547698045695,-0.0,-0.0,-0.0,-1.1824090445167903,-1.0687064826741604,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test137.csv,-0.0,-0.0,-1.7701469337800149,12.887530883232358,-0.0,-3.637389190725935,-0.0,-0.0,-0.0,-0.0,-1.068290161078356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test138.csv,-0.0,-0.0,-2.164383514433979,7.913377896266731,-0.0,-4.443512154596365,-0.0,-0.0,-0.0,-0.0,-1.3105725086825648,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test139.csv,-0.0,-0.0,-1.0092001918693418,23.500133625285642,-0.0,4.200665666678574,-2.413742061072362,-0.0,-0.0,-0.6780516752023981,-0.6132014585487336,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test14.csv,12.406312386139653,-0.0,-0.5213589702199033,-0.0,-0.4228979185514203,-0.0,-4.0592077062749325,-0.0,-0.0,-0.6769453600914943,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08847778429249353,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test140.csv,-0.0,-0.0,-0.0,-0.0,-0.0,-2.3017647021707965,-0.0,-0.0,-0.0,-0.7562963153613934,-0.6859737234589439,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test141.csv,-0.0,-0.0,-1.7491059755319658,12.971228607765719,-0.0,-3.565041612016708,-0.0,-0.0,-0.0,-1.1745085892206393,-1.066705839025477,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test142.csv,-0.0,-0.0,-1.742543639771568,12.996922328264317,-0.0,-3.5483606608182106,-0.0,-0.0,-0.0,-1.172414399629939,-1.0662897888505996,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test143.csv,-0.0,-0.0,-2.13052742630324,8.022568990666764,-0.0,-4.334353630746806,-0.0,-0.0,-0.0,-0.0,-1.3081178394653545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test15.csv,-12.53032921163716,-0.0,-1.1079609408724198,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.4363029476645364,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test16.csv,33.48693642759061,-0.0,-0.29004471698669465,-0.0,0.38558045533075025,-0.0,-2.2579202003141168,-0.0,-0.0,-0.3754729088742388,-0.0,-0.16485313222264697,-0.0,-0.0,-0.0,1.3441098153177489,0.050278781480207,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test17.csv,32.60528139785744,-0.0,-0.36351295201038186,-0.0,-0.29370134167315143,-0.0,-2.4424202832355375,-0.0,-0.0,-0.4700074388514491,-0.0,-0.0,-0.0,-0.0,-0.0,14.253529821650849,4.392477571949714,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test18.csv,17.32652676059885,-0.0,-0.28984178842970015,-0.0,-0.23343843260590408,-0.0,12.498807196584519,-0.0,-0.0,-0.3742905566646925,-0.0,-0.09482279934568637,-0.0,-0.0,-0.03982687880225555,1.3540006457093945,3.108622813892033,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test19.csv,0.785070193740415,-0.0,-0.30422903161545123,-0.0,-0.24425411269325895,-0.0,-0.7833191799413219,-0.0,-0.0,-0.39238989556058,-0.0,-0.0,-0.0,-0.0,-0.0,0.10037694145805558,-0.0,-0.0,-0.0,-0.0
