,physics,history,research,theory,computer,science,engineering,systems,publication,areas,quantum,view,details,experiment,data,matter,award,software,graduate,studies
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test125.csv,-0.0,-0.0,-0.0,-0.0,6.1961966396784565,-6.71708382638164,-1.9823291264100424,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test126.csv,-0.0,-0.0,-0.0,-0.0,12.343793542850594,-6.359463852997534,-1.9040414754448123,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test127.csv,-0.0,-0.0,-0.0,-0.0,7.363283179096804,-7.902765431933177,-2.330846333664921,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test128.csv,-0.0,-0.0,-0.0,-0.0,7.3827468982735365,-7.884230693293969,-2.3246823094263465,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test129.csv,-0.0,-0.0,-0.0,-0.0,7.402184734844981,-7.865711639274016,-2.318521638440802,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test13.csv,-0.0,56.799096652664964,-5.197421593994335,-0.0,-0.0,-1.8693035557007336,-0.27505317636582205,-0.0,-0.058204290076155615,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.961633688816905,4.659280875576357
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test130.csv,-0.0,-0.0,-0.0,-0.0,7.421596723229495,-7.835471660264728,-2.311126681155185,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test131.csv,-0.0,-0.0,-0.0,-0.0,7.4409828977996675,-7.816993867515473,-2.30497338448386,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test132.csv,-0.0,-0.0,-0.0,-0.0,12.460343292882383,-6.354359172085832,-1.8731153916686676,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test133.csv,-0.0,-0.0,-0.0,-0.0,12.47967794275887,-6.340324448464418,-1.8682957483212963,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0506508633662526,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test134.csv,-0.0,-0.0,-0.0,-0.0,12.498986881664774,-6.326299402055904,-1.8634782413406576,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test135.csv,-0.0,-0.0,-3.044761677599342,-0.0,40.68413067139701,-1.03473812438667,31.214864194218503,-0.0,0.00770602277056304,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6438931698810488,0.6404917319968637
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test136.csv,-0.0,-0.0,-0.0,-0.0,12.561243374280386,-6.297090648836329,-1.8436871890148059,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test137.csv,-0.0,-0.0,-0.0,-0.0,12.580443848516712,-6.283095412967353,-1.8388805900835052,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test138.csv,-0.0,-0.0,-0.0,-0.0,7.599618790207515,-7.693907515057276,-2.2509116039497545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test139.csv,-0.0,-0.0,-4.157839744084783,-1.6155101032118147,23.220627607777264,1.1548047066604352,-1.0507532642403006,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test14.csv,-0.0,11.845906364563021,-8.594249000174047,-0.0,-0.0,-0.0,-0.530804326944891,-0.0,-0.11171634832008019,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8578470201637679,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test140.csv,-0.0,-0.0,-0.0,-0.0,-0.0,-4.008626471941174,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test141.csv,-0.0,-0.0,-0.0,-0.0,12.642411015742109,-6.223223882938477,-1.823512083973036,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test142.csv,-0.0,-0.0,-0.0,-0.0,12.661503554285005,-6.2092795796306985,-1.8187144279074445,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test143.csv,-0.0,-0.0,-0.0,-0.0,7.680570703813881,-7.603377821005012,-2.226173193567553,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test15.csv,-0.0,-13.107346170496243,-0.0,-0.0,-0.0,-0.0,-1.1297116612352176,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.831973618206463,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test16.csv,-0.0,32.97109233939471,-5.18621426060084,-0.8453956865663794,-0.0,-0.0,-0.2957777719755726,-0.0,0.7332879838863033,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.30987941830319504,-0.0,2.1634149419005695,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test17.csv,-0.0,31.99256906066214,-7.094077213394161,-0.0,-0.0,-0.0,-0.37073473214927394,-0.0,-0.07629866713318344,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.955076073328755,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test18.csv,-0.0,16.884621050355854,2.927600130831358,-0.0,-0.0,-0.0,-0.2956300227194896,-0.0,-0.06028011418495938,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11558133851554157,-0.0,2.1758737797164622,-0.06753016941185559
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test19.csv,-0.0,0.49280669491770085,-5.9124970091834665,-0.0,-0.0,-0.0,-0.3103352063680067,-0.0,-0.06268970365941495,-0.3998168700032357,-0.0,-0.0,-0.0,-0.0,-0.33538109114882547,-0.0,-0.0,-0.0,10.281175344888503,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test2.csv,-0.0,2.6535340898007034,-10.696342988462712,-0.0,-0.0,-0.0,-0.5515704889091769,-0.0,-0.11037341707826383,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5947156848662916,-0.0,-0.0,-0.0,-1.4041244860847746,-0.12459435668505356
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test20.csv,-0.0,2.9507348545214294,-5.392098945995759,-0.0,-0.0,-1.9529381891432005,-0.2885335570835713,-0.0,-0.05718663708291038,-0.3711217247232903,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.30176096100443,-0.0,5.297613384012114,-0.12498764141326897
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test21.csv,-0.0,90.23994370727084,-3.835684053266168,-0.0,-0.0,-0.0,-0.19846239507015492,-0.0,-0.038957777378760466,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.8604721678057956,-0.0,-0.3184611941428342,-0.043867297406760916
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test22.csv,-0.0,81.28616718638352,-3.7188754436277147,-0.0,-0.0,-1.1404902687463592,-0.21380993456305508,-0.0,-0.04156499136714974,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22135679393486452,-0.0,1.6003854671823203,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test23.csv,-0.0,45.33232919810374,-3.821304947740189,-0.0,-0.0,-0.0,-0.30995080771169037,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.35546875,-0.0,-0.0,-0.34939465735612496,-0.0,2.3294949438503285,0.6339033372391618
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test24.csv,-7.608492504835591,-0.0,-7.555618568499791,-0.0,-0.0,-0.0,-0.0,-0.5637239824408526,-0.0,-0.0,-0.564603481624758,-0.0,0.3339335729050921,-0.0,-0.0,1.478487945839958,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test25.csv,-10.988097487444632,-0.0,-1.700168279469296,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.680348881816118,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test26.csv,-20.78830526104067,-0.0,-3.085126104478216,-0.0,-0.0,-0.0,-0.0,-1.1457189640404148,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.036826243631705,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test27.csv,-8.41666830685194,-0.0,-5.234634324954097,-0.0,-0.0,-2.6983897007002056,19.58360281531596,-0.0,-0.0,-0.0,-0.0,-0.0,0.37608974816392404,-0.0,-0.0,1.6789820568497624,-0.0,-0.0,-0.0,-0.0
