,history,physics,university,engineering,computer,research,science,vanderbilt,rochester,ub,faculty,professor,award,buffalo,department,studies,arts,graduate,information,latin
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test14.csv,18.005295111888852,-0.0,-8.931591287516518,-0.6664945867202394,-0.0,-4.832118296620581,-0.0,-0.0,0.6996333182373319,-0.0,-0.0,-0.6076971423150755,-0.0,-0.0,-0.9961389873140615,-0.0,-0.6113877723152525,-0.6496418823676774,-0.19650197088325858,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test140.csv,-0.0,-0.0,-7.20880093014495,-0.0,-0.0,-0.0,-2.0599424235531822,-0.0,21.059631018422138,-0.0,-0.8693327014914035,-0.6783896070584085,-0.0,-0.0,15.09689377566152,-0.0,-0.44704116788612414,-0.0,-0.538771832161894,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test141.csv,-0.0,-0.0,-16.3520820833197,-2.885340851266694,10.702069819778405,-0.0,-3.183742560407101,-0.0,10.14756472579534,-0.0,-1.3517692164927715,-1.052669866568737,-0.0,-0.0,-1.701172426335348,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test142.csv,-0.0,-0.0,-16.28542993428538,-2.8755344644257144,10.742411231115586,-0.0,-3.1616878853204042,-0.0,10.168457753000904,-0.0,-1.3511546640145002,-1.0498954487714465,-0.0,-0.0,-1.6940575217322418,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test143.csv,-0.0,-0.0,-19.90501362786895,-3.51703984335912,5.782652787474209,-0.0,-3.853220952146768,-0.0,12.50506295644924,-0.0,-1.6574811842644173,-0.0,-0.0,-0.0,-2.0703450705312147,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test15.csv,-6.922935816605921,-0.0,-18.761265603235092,-1.415111430372678,-0.0,-0.0,-0.0,-0.0,1.5607846083707808,-0.0,-0.0,-1.28510464423437,-0.0,-0.0,-2.0914151856140735,-0.0,-1.2927117482156396,-1.386639416826098,-0.41881684848427875,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test16.csv,38.36728404087902,-0.0,-2.4474417719171067,-0.3704231544758256,-0.0,-2.7546120076153136,-0.0,-0.0,4.6128381746500855,-0.0,-0.0,-0.3356490026736773,-0.23873015274474177,-0.0,-0.5463210065601191,-0.0,-0.3368568197755509,3.097762560466789,-0.21051988035827085,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test17.csv,38.23438015313598,-0.0,-3.0172999877342197,-0.46423597325190874,-0.0,-3.2276973653910206,-0.0,-0.0,0.7509710392111291,-0.0,-0.0,-0.41982807409932543,-0.0,-0.0,-0.6834886859976669,-0.0,-0.4204305836472833,-0.46359594431078277,-0.13716620410076202,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test18.csv,21.286063675775406,-0.0,-4.506317685836803,-0.3701382264272796,-0.0,10.892664340637138,-0.0,-0.0,-0.16543060912580165,-0.0,-0.0,-0.3340643319586883,-0.10531957361957105,-0.0,-0.54398193129623,0.07396535135041533,-0.3338128248491022,3.119944903736834,3.093796905330706,47.18906176331918
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test19.csv,3.329520079497798,-0.0,-5.301066414096922,-0.3884984707791865,-0.0,-1.6351675131470578,-0.0,-0.0,0.6350327229024078,-0.0,-0.0,-0.3499423529607133,-0.0,-0.0,-0.09742672274883495,-0.0,-0.3489150784129081,11.861457972192003,-0.2140523374506577,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test2.csv,8.005165318065123,-0.0,-9.46901497937041,-0.6904011869439906,-0.0,-3.9925636224771264,-0.0,-0.0,-0.30425748965137994,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0089506253324856,0.1407354458728407,-0.6174638574673431,-0.6586244823938645,-0.20267092359533587,42.977254797615544
