,physics,history,research,theory,mit,computer,engineering,systems,science,areas,quantum,experiment,data,show,submenu,matter,software,professor,award,faculty
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test18.csv,-0.0,19.423286148954055,-0.34779470523138006,-0.0,-0.0,-0.0,-0.3508620186119016,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5860622070071244,-0.1273594632301978,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test19.csv,-0.0,2.123267401370599,-7.661037959554822,-0.0,-0.0,-0.0,-0.3683087727384553,-0.0,-0.0,-0.6195559939741757,-0.0,-0.0,-0.41177124549800903,-0.0,-0.0,-0.0,-0.0,-0.6147929749182383,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test2.csv,-0.0,5.720188665550055,-13.425758517304631,-0.0,-0.0,-0.0,-0.6545985971617903,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7301477006041659,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test20.csv,-0.0,4.684881854697503,-7.075538349503013,-0.0,-0.0,-0.0,-0.3424213170967749,-0.0,-2.0503145653119486,-0.5753144417457484,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3822607845056183,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test21.csv,-0.0,93.88635833432181,-4.813508757625473,-0.0,-0.0,-0.0,-0.23552442560344422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.271438369924263,2.663151057158164,-0.7425367001573192
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test22.csv,-0.0,84.93736430426554,-4.436059267976334,-0.0,-0.0,-0.0,-0.25373468631163676,-0.0,-1.1790743749710944,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.47113414961843064,-0.28046024571895567,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test23.csv,-0.0,48.98828665786511,-6.244727393380467,-0.0,-0.0,-0.0,-0.36782292897620483,-0.0,-0.0,-0.0,-0.0,-0.568606557377049,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.42267688112447194,-1.0685168436199264
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test24.csv,-13.268640785712535,-0.0,-8.961539568860786,-0.0,-0.0,-0.0,-0.0,-0.6602984008542953,-0.0,-0.0,-0.7319225037257823,-0.0,-0.0,-0.0,-0.0,0.8524753278719882,-0.0,12.857652088233559,-0.0,-0.6631019460267331
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test25.csv,-16.092494323146656,-0.0,-1.9252410791058419,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.672856465021251,-0.0,-0.9957978791896585,-0.0,-0.7441199091771443
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test26.csv,-27.798910046765513,-0.0,-3.493479379011257,-0.0,-0.0,-0.0,-0.0,-1.3417965549396251,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.769043226558526,-0.0,-1.8053685257791705,-0.0,-1.3501066087119908
