,research,theory,science,engineering,systems,publication,areas,quantum,view,details,experiment,data,matter,award,software,graduate,studies,group,press,programs
403,-4.793867834042264,-0.0,1.23965642731707,13.592728147881024,-0.4944393564691505,-0.0,-0.373846084930064,-0.0,-0.0459545083680256,-0.0,-0.0,0.1980705885530524,-0.0,-0.271745713187526,-0.0,-0.6320425810248524,-0.0,-0.0,-0.0,-0.1338435365134401
554,-11.355589546946048,-0.0,-0.0,-0.0,-4.3841601242903385,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6520078913343963,-0.0,-1.2227719988785544,-1.132315244962582,-0.0,-0.0,-1.1035016026588658,-0.0,-0.0
555,49.35468646869328,-0.0,-0.379167501446075,1.0200565550215812,123.16427252948029,-0.0,26.46335682195716,-0.0,-0.0,-0.0,-0.0,5.914059403854761,-0.0,-0.0,27.12008453802906,-0.0,-0.0,1.0896353180616525,0.4836126888696678,-0.0
556,-2.1323732893121883,-0.8024885033041288,-0.8333216157416433,-0.0,-0.1177111189894193,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3724698034739226,-0.0,-0.0
557,-1.075909807553074,-0.0,-0.3379253921632601,2.801566698356738,13.364012357826002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.467214889239677,1.938644675044649,-0.0646136129083316,-0.0,0.1635894760375045,0.27477139146501,0.9497063865985852
558,6.768063600489127,-0.0,-0.0,-0.0,8.37852797397744,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9427465192731623,-0.0,-0.0
559,-3.3176954748499705,-0.0,-1.1147781382137023,-0.3800065695195228,-0.1584980332297634,-0.0,-0.3983465300435887,-0.0,-0.0,-0.0859771523814217,-0.0,-0.0,-0.0,-0.0,0.293071763429018,-0.2902896808801384,-0.0,-0.1811240483260534,-0.0,0.1135757731098698
560,-0.6485446412731394,-0.7968253783601297,1.2317012627321362,-0.0,9.138897831422948,-0.0,-0.0,-0.0,-0.0,0.202254386715677,-0.0,-0.0,-0.0,-0.0,0.2016516527548369,-0.0,-0.0,-0.0,-0.0,-0.0
561,129.57927881933102,111.762533591259,7.656799660683109,5.167417243963285,1.2273715819231297,-0.0,56.66090912706487,-0.0,-0.0,-0.0,-0.0,15.815980155324109,-0.0,17.770876328213184,3.783461063842328,0.0188861642297711,0.0996512234220015,6.658002795372203,0.2390528049934272,-0.0
562,81.17344958936059,77.81257800448851,35.86201998626216,1.175641281879233,-0.1007456841144606,-0.0,38.93502059821434,-0.0,-0.0,-0.0,-0.0,46.13422289758654,1.167573948360235,-0.0,1.885059217296157,-0.0,-0.0,5.925773058823437,0.5534133755858563,-0.0
563,61.91765635998192,2.5468853884063978,1.7327468640046044,4.794765334623055,21.385165505092026,-0.0,68.80916475626576,-0.0,-0.0,-0.0,-0.0,2.8662133884610506,-0.0,4.995512988848177,1.905370133890021,-0.0,0.5665413376414944,54.62307301446876,0.2347502593830056,-0.0
564,171.80176036958702,-0.0,0.8901547271686457,4.659144848868126,3.278451676324181,-0.0,116.89648438767917,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8391978469731489,3.156460844428312,-0.0,-0.0,101.99561318213291,0.3334570507529738,-0.0
