,history,physics,university,computer,research,rochester,ub,engineering,science,award,professor,faculty,buffalo,disability,war,ieee,arts,var,quantum,matter
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test50.csv,-0.0,8.040509378413793,5.16457498637438,-0.0,-2.3392765391048918,3.494705514005326,-0.0,-0.42022000950290783,-0.7756128572200499,-0.0,7.838715323907423,-0.3108928839832843,-0.0,-0.0,-0.0,-0.0,-0.47118926697847197,-0.0,-0.0,2.477905783258625
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test51.csv,-0.0,-15.319412783561862,-6.986488540279275,-0.0,-9.192263041170065,24.439257168041706,-0.0,-0.0,-0.0,-0.32648305589109267,2.267556440503358,-1.2247333756026169,-0.0,-0.0,-0.0,-0.0,-1.846889932728109,-0.0,-0.0,18.987864675017708
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test52.csv,-0.0,16.475634619964268,5.558282833771863,-0.7877015483466174,-5.019716164109301,7.611371693230576,-0.0,-0.0,-1.7648955280486702,-0.0,3.7272330824437163,-0.6712068317591466,-0.0,-0.0,-0.0,-0.0,-1.006435917830489,-0.0,-0.0,1.952042195831202
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test53.csv,-0.0,-7.414652136298571,-4.347241651140151,-0.0,-5.964314645816903,16.056147642162177,-0.0,-0.0,-0.0,-0.0,0.8354548160803894,-0.7998691223836852,-0.0,-0.0,-0.0,-0.0,-1.1929696140139858,-0.0,-0.0,43.62103783193971
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test54.csv,-0.0,-2.1723855520343776,-5.134372050758432,-0.0,-7.186343744075971,30.157986960184314,-0.0,-0.0,-2.401511231482189,-0.0,2.325176089815408,-0.9667563571840019,-0.0,-0.0,-0.0,-0.0,-1.4340236320374264,-0.0,-0.0,7.838699939093764
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test55.csv,-0.0,-11.309647331708625,0.6649682184592081,-0.0,-4.948926043912997,20.46053912703182,-0.0,-0.0,-0.0,-0.0,1.087849717277157,-1.0133292936641571,-0.0,-0.0,-0.0,-0.0,-1.4947031483342719,-0.0,-0.0,3.0112556243200554
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test56.csv,-0.0,10.173695552758105,-6.466123010157818,-0.0,-5.584266700684506,15.286287921172775,-0.0,-0.0,-0.0,-0.648461357543065,11.86963560733501,-0.7549473020500249,-0.0,-0.0,-0.0,-0.0,-1.1072805634778182,-0.0,0.048639842442086405,2.2600519409274993
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test57.csv,-0.0,-10.644821433285443,-10.352309570340513,-0.0,-0.0,14.138139212890083,-0.0,-0.0,-0.0,-0.0,1.3533179641546116,-0.0,-0.0,-0.0,-0.0,-0.0,-1.7803573386252511,-0.0,-0.0,3.682143937419056
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test58.csv,-0.0,37.53592683162664,10.13809784673055,-0.0,-3.732007672311121,10.306003302388367,-0.0,-0.0,-0.0,-0.0,4.647074597353665,-0.5060950530139967,-0.0,-0.0,-0.0,-0.0,-0.7334066215921414,-0.0,43.33963098776083,4.172095021721852
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test59.csv,-0.0,42.416854628833164,57.296609378440216,-0.0,11.669295832450919,13.505307912961609,-0.0,-0.0,-0.15459412466529726,-0.3654496561926514,3.165245871937863,-1.2748222614206592,-0.0,-0.0,-0.0,-0.0,-0.6163369528833802,-0.0,6.203272985310626,1.3114477633915849
